cue,start_sec,end_sec,dur_sec,vad3_speech_ratio,vad1_speech_ratio,onset_delta_sec,timecode_confidence,flags,text_head
212,2140.15,2144.78,4.63,0.898,0.935,-0.07,높음,,아니 개무서워요 양팔 양쪽으로 벌리고 막 미친듯이 달려와
213,2144.88,2152.78,7.89,0.483,0.963,0.03,중간,8s_padding,그 약간 워익 워익 보는거 같아요 워익 공 보는거 같아요 왜 안오겠지?
214,2154.58,2156.66,2.08,0.026,1.0,-0.4,중간,,돌렸겠지?
215,2159.95,2161.34,1.39,0.943,1.0,0.08,높음,,아니 문이 열려있냐?
216,2163.87,2175.26,11.39,0.277,0.687,2.76,중간,overlong;onset_off,여기 들어갔다 왔구나 아 잠깐만 아 쫄린다 진짜 열쇠만 모으면 되나?
217,2182.38,2193.07,10.69,0.214,0.652,1.74,중간,overlong;onset_off,아니 이게 지하주차장이 생각보다 개방되어있어서 눈만 마주치면 멀리에서 미
218,2193.52,2196.89,3.37,0.769,0.884,1.79,중간,onset_off,아 여기 막다른 곳이야 아 잠깐만 망했어!
219,2196.94,2198.9,1.96,0.913,1.0,-1.63,중간,onset_off,조졌어!
220,2200.25,2203.78,3.53,0.657,0.915,0.04,중간,,아... 조졌어... 막다른 곳이였어 하필이면
221,2205.1,2212.7,7.6,0.478,0.876,0.05,중간,,아 조졌어 나 따라온다 스테미는 다 떨어질 때 됐는데?
222,2213.8,2216.94,3.14,0.669,0.742,0.05,중간,,잠깐만... 잠깐만요... 착하게 살게요...
223,2217.04,2225.94,8.9,0.713,0.949,-1.0,중간,,착하게 살게요... 저 착하게 살게요 진짜로 착하게 살게요!
224,2225.94,2233.94,8.0,0.765,0.94,0.03,높음,8s_padding,잠깐만요... 어허허허허허... 잠깐만요...
225,2239.74,2243.94,4.2,0.878,0.914,0.06,높음,,하하하하 왜 안가 왜 안사라져
226,2244.04,2249.98,5.94,0.792,0.998,-0.4,높음,,왜 이렇게 잘 따라오는거야 숨어봐 이러면 죽냐?
227,2249.98,2251.94,1.96,0.184,0.454,0.5,낮음,no_speech_detected,들어오냐?
228,2253.99,2260.94,6.95,0.449,0.59,0.06,중간,,하... 아 문을 열고 오진 않네 하...
229,2261.24,2263.94,2.7,0.422,0.681,0.04,중간,,하... 하...
230,2264.59,2268.94,4.35,0.503,0.885,0.05,중간,,하... 야 아몬드물 좀 먹어보자
231,2269.89,2275.94,6.05,0.392,0.752,-0.39,중간,,아... 안정을 취해 좋아 할 수 있어
232,2276.34,2278.94,2.6,0.542,0.992,0.03,중간,,근데 열쇠가 왜 하나도 안나오지?
233,2280.34,2281.94,1.6,0.0,0.481,1.94,낮음,onset_off;no_speech_detected,어?
234,2282.24,2285.94,3.7,0.673,0.846,0.04,중간,,원래 열쇠가 하나씩 있어야 되거든요? 휴비대 나네?
235,2285.94,2287.94,2.0,0.775,1.0,-0.03,높음,,내가 봤던 영상은 그랬는데?
236,2288.61,2289.94,1.33,0.321,0.639,-0.82,중간,,갔냐?
237,2290.24,2292.03,1.79,1.0,1.0,-0.37,높음,,하하하...
238,2294.65,2297.12,2.47,0.676,1.0,-0.22,중간,,안갔어 아이씨 뭐야...
239,2298.12,2302.94,4.82,0.373,0.846,0.03,중간,,문 닫으면 못들어오네 별거 아니네
240,2312.54,2314.94,2.4,0.525,0.654,0.04,중간,,눈만 안 마주치면 되는거 아냐?
241,2327.69,2330.94,3.25,0.858,1.0,0.04,높음,,아 마주쳤어 설마요?
242,2333.86,2336.22,2.36,0.746,1.0,-0.58,중간,,뭐? 뭐?
243,2336.32,2341.94,5.62,0.644,0.947,0.8,중간,,범벼 범벼 너 못들어오잖아 뭐 범벼봐 인식도 못하죠?
244,2342.74,2344.94,2.2,0.709,0.814,0.05,높음,,NPC 수준? 쭛쭈?
245,2346.19,2347.94,1.75,0.971,1.0,0.05,높음,,아 근데 무서워
246,2348.11,2350.94,2.83,0.908,0.929,-1.87,중간,onset_off,빨리 가
247,2351.24,2354.94,3.7,0.811,0.835,0.04,높음,,빨리 가 이제 대충 알았어요 이제
248,2355.89,2363.94,8.05,0.343,0.75,0.01,중간,8s_padding,인식을 못하네 문 닫으면 아무것도 못하죠?
249,2366.64,2368.34,1.7,0.827,1.0,0.09,높음,,아 근데 문을...
250,2370.84,2374.94,4.1,0.733,0.761,0.66,중간,,잠깐만 문을 안에서 열었는데 안으로 열리는 문이에요?
251,2384.19,2385.94,1.75,0.0,0.983,-2.61,중간,onset_off,아니 있어봐
252,2386.11,2388.94,2.83,0.117,0.689,1.2,중간,onset_off,근데 거기서 하루종일 있을 수는 없잖아 나도
253,2389.64,2394.94,5.3,0.691,1.0,0.13,중간,,와 이 NPC 진짜 낄대 안 낄대 그거는 못하네
254,2395.57,2396.94,1.38,0.455,0.993,-0.06,중간,,야 일로 와봐
255,2397.54,2400.24,2.7,0.612,0.844,0.09,중간,,일로 와봐 일로 와봐 여기 있는데?
256,2400.24,2401.94,1.7,0.263,0.565,-0.36,중간,,라이터 있는데?
257,2402.84,2415.88,13.04,0.343,0.729,0.01,중간,overlong,이 자식 낄대 안 낄대 고부는 못하네 이 자식 아 근데 나가도 될까 이제
258,2415.98,2415.94,-0.04,0.0,0.0,0.73,낮음,broken_duration;no_speech_detected,나가볼까?
259,2416.64,2419.94,3.3,0.445,0.782,0.07,중간,,아니 왜 자꾸 안으로만 열리냐고
260,2420.89,2424.94,4.05,0.704,0.805,0.08,높음,,근데 빈 방 아니 안 가본 방이 왜 없지?
261,2427.66,2429.94,2.28,0.749,1.0,-0.09,높음,,안 가본 방을 가봐야 되는데
262,2433.09,2434.94,1.85,0.843,1.0,0.06,높음,,아 너무 무섭다 진짜로
263,2436.34,2437.94,1.6,0.506,0.669,0.08,중간,,45분 됐어요
264,2441.04,2442.94,1.9,0.826,1.0,0.0,높음,,2시간은 못할 것 같은데
265,2446.79,2452.94,6.15,0.727,0.938,0.07,높음,,제가 어렸을 때도 이토준지 만화 이런거 되게 좋아했거든요 약간 기괴하고
266,2454.24,2455.94,1.7,0.794,0.982,0.06,높음,,근데 그런걸 보고 나면
267,2456.49,2458.94,2.45,0.588,0.829,0.09,중간,,거기에 몰입이 너무 많이 돼가지고
268,2459.26,2464.94,5.68,0.767,0.981,0.05,높음,,항상 그런 만화책을 빌릴 때도 항상 재밌는 만화책을 같이 빌렸어요
269,2466.69,2470.94,4.25,0.88,0.993,0.09,높음,,그래서 그 공포에 대한 그 느낌을 좀 희석시켜야 돼
270,2472.64,2474.94,2.3,0.53,0.713,-0.13,중간,,약간 그런식으로 저는 극복을 했습니다
271,2475.69,2476.94,1.25,0.624,0.72,0.03,중간,,어? 열쇠 하나
272,2478.11,2481.94,3.83,0.439,0.95,0.04,중간,,열쇠 둘 여기 두개나 있네 또 없나?
273,2483.54,2486.94,3.4,0.794,0.903,0.04,높음,,일단은 조금 익숙해졌어요 아까보다는
274,2488.04,2490.94,2.9,0.583,0.748,0.04,중간,,열쇠 두개를 더 찾아야 되네요
275,2505.04,2507.94,2.9,0.855,1.0,-0.73,중간,,아 안 돼
276,2508.84,2518.94,10.1,0.514,1.0,0.06,중간,overlong,안 돼 일로와 저기로가 아니 일로와가 아니고 저기로가 저기로가 알았어 저
277,2523.59,2525.94,2.35,0.6,1.0,0.07,중간,,아 나 너무 무서워
278,2526.19,2527.94,1.75,0.234,0.777,-0.13,중간,,됐냐?
279,2529.26,2530.94,1.68,0.304,0.589,0.04,중간,,할거지?
280,2532.44,2533.94,1.5,0.18,1.0,0.07,중간,,할거지?
281,2536.89,2539.94,3.05,0.718,0.895,0.06,높음,,광원을 인식하고 이런것도 못하는거 같아요 제가 보니까
282,2541.32,2542.94,1.62,0.369,0.463,0.02,중간,,저쪽으로 갔고
283,2552.04,2554.94,2.9,0.745,1.0,0.06,높음,,이쪽으로 가고 있고 소리인식도 못하는거 같은데
284,2555.74,2558.94,3.2,0.647,1.0,0.11,중간,,아 근데 아까 저기는 안 가본거 같은데 저기는 가봐야 될거 같은데
285,2561.51,2562.94,1.43,0.0,0.972,1.87,중간,onset_off,가지
286,2563.29,2568.94,5.65,0.552,0.819,0.09,중간,,오케이 들어가세요 예 어 저 문 열려있는데 다른 데 가보자
287,2578.04,2582.14,4.1,0.285,0.837,0.07,중간,,잠깐 벽뒤에 몸을 숨기고 못 봤나?
288,2584.62,2586.94,2.32,0.323,0.388,0.15,중간,,근데 왜 이쪽으로 오지?
289,2589.29,2592.94,3.65,0.501,0.784,0.1,중간,,못봤지? 아 빼꼼은 못보는구나
290,2593.84,2595.94,2.1,0.843,0.976,0.05,높음,,빼꼼은 인식을 못하네
291,2597.54,2598.94,1.4,0.0,0.95,1.45,중간,onset_off,그죠?
292,2598.94,2602.94,4.0,0.593,0.808,0.05,중간,,그러네 빼꼼은 괜찮은거네 아 근데 왜 이쪽으로 와?
293,2603.64,2609.94,6.3,0.843,0.938,0.06,높음,,아 큰일났네 저 죽어요 님들아 반대쪽으로 뛰쳐가기?
294,2609.94,2612.94,3.0,0.46,1.0,0.36,중간,,여기 문이 있다고 문이 있다고 문이 있다고 문이 있다고
295,2613.09,2618.94,5.85,0.513,0.908,0.39,중간,,또다시 문을 닫으면 되는데
296,2621.86,2627.94,6.08,0.768,0.965,-0.07,높음,,문 닫으면 되는데 아 진짜 어디부터 다시 해야돼?
297,2628.64,2633.94,5.3,0.566,0.932,0.05,중간,,라이트도 없네 아 몰라 열쇠 두개는 챙겨져 있겠지?
298,2635.54,2638.94,3.4,0.741,0.885,0.05,높음,,그냥 가봅시다 닫혀있는 문 먼저 찾아야겠어
299,2639.84,2643.94,4.1,0.646,0.905,0.07,중간,,근데 이런게 초기화가 되는 것 같아요 문이
300,2645.86,2652.94,7.08,0.575,0.928,-0.01,중간,,계속 돌아다녀야 되는거야 그죠? 여기도 아까 왔던 어? 아몬드몰도 있네
301,2657.94,2659.94,2.0,0.795,0.96,-0.39,높음,,하 어렵다
302,2660.86,2662.94,2.08,0.708,0.976,0.05,높음,,아 졸려님 안녕하세요
303,2665.14,2672.94,7.8,0.804,1.0,0.06,높음,,백룸 나쁘지 않았어요 처음 보자마자 모든 걸 이해하지는 못했는데
304,2673.54,2679.94,6.4,0.708,0.887,0.06,높음,,그래도 이게 도대체 어떤 내용이었을까라는 궁금증이 많이 생겼고
305,2680.24,2685.94,5.7,0.784,0.972,0.11,높음,,그리고 찾아보다 보니까 백룸의 어떤 모시계단 같은 내용들이랑
306,2686.84,2689.94,3.1,0.881,1.0,0.05,높음,,엔티티 뭐 그런 요소들도 좀 알게되고
307,2690.09,2697.68,7.59,0.596,0.755,0.07,중간,,리미널 스페이스라는 단어도 알게되면서 관심은 많이.
308,2698.03,2698.94,0.91,0.283,1.0,1.64,중간,onset_off,. 아 저 끝에 있다
309,2699.59,2700.94,1.35,0.756,1.0,0.08,높음,,관심이 많이 생기더라구요
310,2703.59,2709.94,6.35,0.946,1.0,-0.59,중간,,그리고 약간 실제로 백룸 안에서는 내가 어떤 느낌을 느낄 수 있을까 약간
311,2710.44,2720.72,10.28,0.574,0.793,0.12,중간,overlong,그런 생각도 들면서 결국에는 이 게임까지 해보게 됐어요 근데 제가 약간
312,2721.82,2725.94,4.12,0.92,1.0,1.28,중간,onset_off,. 아니 공포 게임을 할 때 습관이 있거든요
313,2726.04,2729.94,3.9,0.854,1.0,-2.94,중간,onset_off,최대한 주변 환경을 무섭게 하고 하는 습관이 있는데
314,2730.74,2740.94,10.2,0.832,0.939,0.07,중간,overlong,불도 막 꺼놓고 모니터도 다 시커멓게 바꿔놓고 막 그렇게 하고 있는데 아
315,2741.39,2742.94,1.55,0.697,0.974,0.07,중간,,맨 처음에 괴물한테 잡혔을 때
316,2744.14,2746.94,2.8,0.811,1.0,-0.55,중간,,약간 지금은 조금씩 익숙해지고 있어요
317,2749.39,2750.94,1.55,0.213,0.806,0.14,중간,,저기도 아까 갔던 것 같은데
318,2752.19,2756.94,4.75,0.878,0.992,0.07,높음,,하다보니까 각각 그 스테이지마다 이..
319,2758.49,2761.94,3.45,0.704,0.87,0.1,높음,,뭐라고 해야 되지? 엔티티들이 특징이 있는 것 같구요
320,2763.94,2764.94,1.0,0.6,1.0,0.11,중간,,어? 하나
321,2765.54,2766.94,1.4,0.693,1.0,0.04,중간,,어? 여기 하나 있었어!
322,2767.09,2769.94,2.85,0.628,0.933,-0.22,중간,,어? 뭐야? 이거 못봤어 그럼 다 뺐네
323,2772.01,2773.01,1.0,0.21,0.59,0.14,중간,,어? 꽂혀있고?
324,2774.94,2775.94,1.0,0.43,0.49,0.57,중간,,꽂혀있네?
325,2776.94,2777.94,1.0,0.21,0.75,0.19,중간,,뭐야?
326,2779.24,2780.94,1.7,0.512,0.971,0.05,중간,,올려야 되는 건가?
327,2782.94,2783.94,1.0,0.0,1.0,-3.65,중간,onset_off,올려
328,2784.94,2785.94,1.0,0.0,1.0,3.38,중간,onset_off,엥?
329,2787.94,2790.3,2.36,0.153,0.568,0.38,중간,,아니 이거 뭐에요?
330,2791.9,2792.94,1.04,0.423,1.0,-0.22,중간,,올리는 거 아니야?
331,2792.94,2796.43,3.49,0.305,0.716,0.03,중간,,올려 불사가 정해져있나?
332,2798.03,2797.94,-0.09,0.0,0.0,-2.42,낮음,broken_duration;onset_off;no_speech_detected,어?
333,2804.44,2805.94,1.5,0.38,1.0,0.02,중간,,왔는데?
334,2808.89,2809.94,1.05,0.933,1.0,0.07,높음,,발소리 나
335,2812.49,2813.94,1.45,0.745,1.0,0.1,높음,,잠깐만 이거 어떻게 하는 거야?
336,2815.94,2818.94,3.0,0.563,1.0,-0.02,중간,,어? 난 돌렸는데 왜 돌아가지 다시?
337,2823.24,2824.94,1.7,0.982,1.0,0.03,높음,,하...
338,2826.44,2827.94,1.5,0.7,1.0,0.07,높음,,잠깐만요
339,2829.29,2831.94,2.65,0.577,0.875,0.01,중간,,이거 공략을 한 번 봐야 될 것 같은데
340,2832.99,2834.94,1.95,0.954,1.0,0.09,높음,,일단 열쇠 4개는 다 모은 것 같거든요?
341,2835.26,2840.94,5.68,0.181,0.319,-2.18,낮음,onset_off;no_speech_detected,공략 잠깐만 봐 볼게요 근데 뭐 해야 되는 거야?
342,2840.94,2848.94,8.0,0.213,0.321,5.52,낮음,8s_padding;onset_off;no_speech_detected,escape the back door 아 살아있는 공략이에요?
343,2849.94,2850.94,1.0,0.48,1.0,-1.11,중간,onset_off,잠깐만
344,2852.94,2855.94,3.0,0.38,0.67,-1.14,중간,onset_off,출구를 찾아보세요 근데
345,2856.94,2857.94,1.0,0.45,0.68,0.44,중간,,엉?
346,2861.86,2862.94,1.08,0.442,1.0,0.86,중간,,어?
347,2863.94,2864.94,1.0,0.0,0.09,-1.22,낮음,onset_off;no_speech_detected,어?
348,2865.94,2868.94,3.0,0.0,0.0,-3.22,낮음,onset_off;no_speech_detected,아니 이거 열쇠 다 모으고 뭐 해야 되는 거지?
349,2870.94,2871.94,1.0,0.0,0.0,1.14,낮음,onset_off;no_speech_detected,잠깐만요
350,2873.94,2874.94,1.0,0.99,1.0,-1.86,중간,onset_off,레벨
351,2876.94,2877.94,1.0,0.0,0.28,-4.86,낮음,onset_off;no_speech_detected,레벨 1
352,2881.94,2886.94,5.0,0.132,0.174,1.63,낮음,onset_off;no_speech_detected,열쇠 4개를 다 먹었잖아요 서두면 끝난 거 아니에요?
353,2892.94,2895.94,3.0,0.0,0.0,-1.39,낮음,onset_off;no_speech_detected,동시에 돌리면 문이 열린다고?
354,2896.94,2898.94,2.0,0.005,0.02,1.99,낮음,onset_off;no_speech_detected,동시에 돌리면?
355,2901.94,2903.94,2.0,0.385,0.49,-0.46,중간,,근데 열쇠는 다 꽂혀있어요
356,2910.94,2912.94,2.0,0.315,1.0,0.35,중간,,바로바로
357,2915.69,2916.94,1.25,0.0,0.872,1.51,중간,onset_off,아 이게 돌아오는구나 시간이 아 오케이 오케이
358,2917.19,2924.94,7.75,0.557,0.894,0.01,중간,,빠르게 아 열렸다 네 열렸습니다
359,2925.74,2927.94,2.2,0.504,1.0,0.07,중간,,아이 감사합니다
360,2929.09,2932.94,3.85,0.465,0.626,-0.37,중간,,살아있는 공략이 많네요
361,2933.94,2934.94,1.0,0.91,1.0,0.09,높음,,잠깐만
362,2935.64,2939.94,4.3,0.635,0.902,0.04,중간,,어 근데 공략 공략해주시는 분도 등장했으니까 이거 계속해야 되는 거예요?
363,2940.69,2941.94,1.25,0.712,0.976,0.03,높음,,저 한 시간만 하고 끄고 싶었네
364,2942.04,2946.94,4.9,0.908,0.927,-0.24,높음,,무서워서 조금만 더 해볼게요
365,2949.04,2950.94,1.9,0.5,0.826,-0.52,중간,,이게 아무래도 심장에 무리가 가는 게임인 것 같아
366,2951.94,2953.94,2.0,0.415,1.0,-0.96,중간,,뭐야 어이C
367,2954.94,2956.94,2.0,0.15,0.405,-1.59,낮음,onset_off;no_speech_detected,제가 개쫄보라서
368,2957.64,2962.94,5.3,0.44,0.728,0.09,중간,,이게 게임이라는 걸 아무리 인지를 해도 제가 지금 너무 쫄려요
369,2963.94,2975.94,12.0,0.602,0.85,-1.02,중간,overlong;onset_off,흐흐흐흐흐흐 네 혼자 하려니까 너무 무서워요 이건 뭐야 파인드 엘리베이터
370,2978.14,2982.94,4.8,0.487,0.506,-0.22,중간,,일단 이 문을 열고 나가면 엘리베이터가 있다는 거겠죠?
371,2982.94,2987.94,5.0,0.574,0.706,-0.49,중간,,아 이것도 맵이 시커멍 아 너무 싫어
372,2991.54,2992.94,1.4,0.557,0.686,0.06,중간,,그럼 이 시커멍 데서 또 꺼야겠다
373,2995.89,2997.94,2.05,1.0,1.0,0.0,높음,,그럼 이 시커멍 데서 또 괴물이 튀어나오는 거 아니에요?
374,2998.94,2999.94,1.0,0.78,1.0,0.07,높음,,아 미치겠네
375,3001.19,3009.94,8.75,0.44,0.817,0.13,중간,,이거 너무 무서워요 게임이 혼자 하신다고요 이 게임을?
376,3010.84,3013.94,3.1,0.91,1.0,0.05,높음,,살아있는 공략공인 될 때까지 혼자 하셨다고요?
377,3015.39,3016.94,1.55,0.961,0.961,0.06,높음,,이게 가능합니까?
378,3023.94,3031.94,8.0,0.947,1.0,-0.84,중간,8s_padding,흐어허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허허
379,3046.24,3050.94,4.7,0.977,1.0,0.05,높음,,와 저게 멀리 이제는 사람으로 변신해서 걸어다니네
380,3052.34,3053.94,1.6,0.431,0.581,0.1,중간,,와
381,3055.64,3056.94,1.3,0.992,1.0,0.01,높음,,개무섭다 진짜로
382,3066.76,3071.94,5.18,0.916,1.0,0.08,높음,,그래도 이게 이번 스테이지까지는 좀 깨고 끄더라도 깨고 끄고 싶거든요
383,3072.59,3073.94,1.35,0.63,0.807,-0.05,중간,,조금 더 해볼게요
384,3076.59,3077.94,1.35,0.8,0.911,0.03,높음,,아니 근데 방이
385,3079.09,3080.94,1.85,0.973,1.0,0.05,높음,,다 막다른 길이야
386,3082.49,3083.94,1.45,0.0,0.524,-3.35,중간,onset_off,아무것도 없고
387,3087.99,3090.94,2.95,0.827,1.0,0.18,높음,,모르겠다 이제 그냥 괴물 만나면 그냥 죽을래요
388,3091.94,3095.94,4.0,0.428,0.57,0.4,중간,,어 여기 뭐 잠깐만 라이트가 없네?
389,3096.66,3102.94,6.28,0.449,1.0,0.06,중간,,아 시작할 때 챙겨왔어야 되는구나 여기가 시작한댄가?
390,3104.34,3105.94,1.6,0.431,0.619,0.06,중간,,라이트를 챙겨왔어야 되네
391,3111.34,3112.94,1.6,0.969,1.0,0.05,높음,,아 이제 그냥 괴물 만나도 그냥 죽어야겠다
392,3113.04,3114.94,1.9,1.0,1.0,-1.65,중간,onset_off,어 뭐야 죽여 죽여
393,3116.24,3117.94,1.7,0.847,1.0,0.01,높음,,응? 다시 하면 그만이야
394,3122.94,3123.94,1.0,0.6,1.0,0.33,중간,,받아들여
395,3125.99,3129.94,3.95,0.919,0.982,0.01,높음,,차라리 이게 제일 빠를 것 같아요 깨는 방법이
396,3131.74,3133.94,2.2,0.805,1.0,0.02,높음,,훈전등 들고 일단 뛰어다니면서
397,3134.72,3136.94,2.22,0.883,1.0,-0.13,높음,,다른 방들을 좀 빠르게 서칭하고
398,3140.24,3142.94,2.7,0.693,1.0,-0.14,중간,,일단 처음에 이 두개 방은 아무것도 없고
399,3149.54,3150.94,1.4,0.607,1.0,-0.47,중간,,어? 주변에 있는데 지금?
400,3151.74,3152.94,1.2,0.25,1.0,0.06,중간,,소리 났는데?
401,3158.29,3166.94,8.65,0.394,0.883,-0.49,중간,,아 모르겠다 죽여라 그래 죽여 이거 뭐야 아래층도 있었네?
402,3168.26,3169.94,1.68,0.585,0.804,0.04,중간,,죽여라 죽여
403,3170.39,3171.94,1.55,0.49,1.0,0.55,중간,,에 죽지 뭐
404,3172.54,3181.94,9.4,0.407,0.847,-0.01,중간,,니가 죽이고 싶다는데 내가 죽어야지 뭐 뭐라구요?
405,3182.99,3185.94,2.95,0.986,0.986,0.04,높음,,PTSD 생겨서 더 무섭다고요? 아 그래요?
406,3187.14,3199.94,12.8,0.598,0.921,-0.36,중간,overlong,근데 이제 조금씩 적응은 돼가고 있는데 너무 이렇게 시커먼 데서 튀어나오
407,3202.82,3206.91,4.1,0.421,0.998,-0.7,중간,,아 엘리베이터 찾았다 아 이수 맞죠 이거?
408,3208.86,3209.04,0.18,0.0,1.0,-0.57,중간,,다음층이죠?
409,3216.14,3217.94,1.8,0.7,0.856,0.01,높음,,아 이거 팔에 지금
410,3218.64,3220.94,2.3,0.6,0.783,0.0,중간,,엄마 이건 또 왜 이렇게 넓어?
411,3222.74,3228.61,5.87,0.226,0.709,0.1,중간,,팔에 계속 소름이 돋고 있어요 이거 뭐야?
412,3228.61,3228.94,0.33,0.698,1.0,-0.01,중간,,뭔데?
413,3230.01,3231.01,1.0,0.39,0.6,0.06,중간,,이렇게 하면 돼?
414,3235.24,3236.94,1.7,0.388,0.6,0.08,중간,,깼네
415,3243.39,3244.94,1.55,0.368,1.0,0.03,중간,,이건 뭐야 또
416,3250.19,3251.94,1.75,0.36,0.486,0.07,중간,,문 안열려
417,3255.39,3256.94,1.55,0.155,0.71,-0.06,중간,,뭐야?
418,3260.09,3263.94,3.85,0.99,1.0,0.04,높음,,아 이게 뭐 연결.. 아 전 스테이지로 갈 수 있는거구나
419,3264.89,3265.94,1.05,0.771,1.0,0.04,높음,,Stay in the light
420,3266.49,3271.94,5.45,0.116,0.314,-0.03,낮음,no_speech_detected,빛을 벗어내지 마 이거 뭐야?
421,3276.74,3277.94,1.2,0.5,0.883,0.04,중간,,이렇게 하면 뭐 되는건가?
422,3279.94,3281.94,2.0,0.075,0.33,-1.21,낮음,onset_off;no_speech_detected,안되네요
423,3285.59,3286.94,1.35,0.348,0.504,0.88,중간,,(집중)
424,3293.64,3298.53,4.89,0.313,0.724,0.03,중간,,한 스테이지만 좀 더 해볼게요 하다보니까 약간 묘한 그런.
425,3302.48,3302.94,0.46,0.0,1.0,0.58,중간,,.
426,3303.09,3304.94,1.85,0.211,0.47,-0.03,낮음,no_speech_detected,그런게 좀 있는데?
427,3315.94,3317.94,2.0,0.075,0.315,1.85,낮음,onset_off;no_speech_detected,뭐라고요?
428,3319.59,3322.94,3.35,0.475,0.588,0.0,중간,,좌측에 방이 하나 있는데 이거요?
429,3325.29,3326.94,1.65,0.964,1.0,0.06,높음,,이거 들어가면 귀신 나오는거 아니야?
430,3328.94,3330.94,2.0,0.39,0.71,0.1,중간,,잠깐만 문은 일단 닫아
431,3331.94,3337.94,6.0,0.81,0.95,0.1,높음,,일단 제가 엔티티가 덜 무서워진 이유가 하나 있는데 그게 뭐냐면
432,3339.39,3341.94,2.55,0.847,0.988,0.03,높음,,방문을 열고 들어오지는 못한다는거에요
433,3342.54,3343.94,1.4,0.921,0.957,0.09,높음,,거기서 일단 안도를 했습니다
434,3346.47,3348.94,2.47,0.61,0.879,0.04,중간,,일단 이거를 시킬트 체크를 해야되는데
435,3349.09,3350.94,1.85,0.757,0.789,-0.97,중간,,어? 이거 본거 같애
436,3352.81,3358.94,6.13,0.539,0.705,0.08,중간,,이게 이거 뭐 수면 그림 찾기라고 했는데 어 뭐야?
437,3359.89,3360.94,1.05,0.286,0.371,0.02,낮음,no_speech_detected,그죠?
438,3361.79,3368.94,7.15,0.713,0.831,0.07,높음,,이거 똑같은 그림을 찾는 그런거라고 했어요 똑같은데요 요거에 있는 똑같은
439,3371.44,3373.94,2.5,0.816,0.884,0.02,높음,,유튜브에서 선행학습을 하고 왔어요
440,3376.59,3381.94,5.35,0.886,0.897,-0.27,높음,,사실 이게 백룸에 뭔가를 검색하다 보니까 게임 영상에 하나 나오더라구요
441,3384.29,3385.94,1.65,0.164,0.424,0.07,낮음,no_speech_detected,요런거구만
442,3389.36,3391.94,2.58,0.827,0.977,0.07,높음,,XORA XORA
443,3392.94,3394.94,2.0,0.0,0.24,-3.51,낮음,onset_off;no_speech_detected,없구요
444,3395.99,3397.94,1.95,0.0,0.708,-6.56,중간,onset_off,XOR
445,3399.79,3400.94,1.15,0.0,0.461,3.77,낮음,onset_off;no_speech_detected,저 밑에 있나보다
446,3401.29,3402.94,1.65,0.0,0.509,2.27,중간,onset_off,XOR
447,3403.49,3410.94,7.45,0.185,0.472,0.07,낮음,no_speech_detected,이거다 LDHL 요거같은데?
448,3410.94,3412.94,2.0,0.525,0.84,0.09,중간,,오케이
449,3413.49,3414.94,1.45,0.766,0.869,0.09,높음,,야 왜이렇게 어두워
450,3417.94,3419.94,2.0,0.57,0.72,0.08,중간,,아 저 돌아갈래요
451,3422.89,3425.94,3.05,0.984,0.984,0.05,높음,,저는 이 어두운 공간을 되게 싫어하나봐요 무서워하나봐요
452,3427.54,3428.94,1.4,0.321,0.614,0.17,중간,,너무 어둡다
453,3430.74,3432.94,2.2,0.736,0.859,0.06,높음,,마우스라도 챙기면 안되나 무기로?
454,3434.19,3447.94,13.75,0.164,0.236,0.06,낮음,overlong;no_speech_detected,야 앞이 라이트를 켰는데도 앞이 안보여 왜 무서워 엘리베이터야?
455,3454.94,3455.94,1.0,0.36,0.51,0.07,중간,,뭐야 이거?
456,3460.44,3461.94,1.5,0.48,0.6,0.06,중간,,왜 안열려요?
457,3464.94,3466.94,2.0,0.105,0.18,0.93,낮음,no_speech_detected,뭐지?
458,3468.49,3470.94,2.45,0.661,0.784,0.05,중간,,이 안에서 뭐 단서를 찾아야 되나?
459,3478.29,3479.94,1.65,0.8,0.873,0.06,높음,,It Hurls You?
460,3481.69,3482.94,1.25,0.936,0.96,0.05,높음,,이거 약간 코드같은데?
461,3484.69,3485.94,1.25,0.816,1.0,0.08,높음,,잠깐만요 스셧좀 딸게요
462,3488.94,3489.94,1.0,0.63,1.0,0.03,중간,,어? 뭐야?
463,3490.99,3491.99,1.0,0.68,1.0,-0.01,중간,,스셧 왜 안따져?
464,3494.54,3495.94,1.4,0.457,1.0,-0.02,중간,,스셧 안따지네?
465,3497.24,3498.94,1.7,0.971,1.0,0.04,높음,,에헤이~ 조잤네 이거
466,3502.09,3505.99,3.9,0.664,0.723,0.02,중간,,입구 우측에 보면 전원을 키는 곳이 있다고요?
467,3506.54,3507.94,1.4,1.0,1.0,-0.14,높음,,아 전원키는 곳이 있었어요?
468,3510.34,3513.94,3.6,0.853,0.903,0.08,높음,,나 혼자 공포게임 하고 있었어?
469,3520.54,3522.94,2.4,0.817,0.992,0.05,높음,,아씨 뭐야 혼자 생쇼하고 있었네
470,3524.94,3526.94,2.0,0.13,0.265,1.74,낮음,onset_off;no_speech_detected,어? 이거 저거다
471,3527.09,3532.94,5.85,0.817,0.913,-0.41,높음,,이게 이제 그러면 이 에이싱크 회사의 건물인가봐요 그쵸?
